"fasta[, 1]",HM.COVID19.2e0.Molecules.1.,HM.COVID19.2e0.Molecules.2.,HM.COVID19.2e1.Molecules.1.,HM.COVID19.2e1.Molecules.2.,HM.COVID19.2e2.Molecules.1.,HM.COVID19.2e2.Molecules.2.,HM.COVID19.2e3.Molecules.,HM.COVID19.2e3.Molecules.1.,HM.COVID19.2e3.Molecules.2.,HM.COVID19.2e4.Molecules.1.,HM.COVID19.2e4.Molecules.2.,HM.COVID19.2e5.Molecules.1.,HM.COVID19.2e5.Molecules.2.,HM.COVID19.2eNEG1.Molecules.1.,HM.COVID19.2eNEG1.Molecules.2.,HM35.1.,HM35.2.,HM36.1.,HM36.2.,HM37.1.,HM37.2.,HM38.1.,HM38.2.,HM39.1.,HM39.2.,HM40.1.,HM40.2.,HM41.1.,HM41.2.,HM42.1.,HM42.2.,HM43.,HM44.,HM45.,HM46.,HM47.,HM48.,HM49.,HM50.,HM51.,HM52.,HM53.,HM54.,HM55.,HM56.,HM57.,HM58.,HM59.,HM60.,HM61.,HM62.,HM63.,HM64.,HM65.,HM66.,HM67.,HM68.,HM69.,HM70.,HM71.,HM72.,HM73.,HM74.,HM75.,HM76.,HM77.,HM78.,HM79.,HM80.,HM81.,HM82.,HM83.,HM84.,NLC.HM.COVID19.2e5.Molecules.,NLC.PRO.192.Adeno.CoronaHKU1.Rhino.Entero,NLC.PRO.195.ND.,NTC.,NTC.,NTC.,NTC.,NTC.,NTC.,PRO.191.ND.1.,PRO.191.ND.2.,PRO.192.Adeno.CoronaHKU1.Rhino.Entero.1,PRO.192.Adeno.CoronaHKU1.Rhino.Entero.2,PRO.195.ND.1.,PRO.195.ND.2.,PRO.198.ND.,PRO.198.ND.1.,PRO.198.ND.2.,PRO.248.InfluenzaB.1.,PRO.248.InfluenzaB.2.,PRO.261.CoronaOC43.,PRO.261.CoronaOC43.1.,PRO.261.CoronaOC43.2.,PRO.384.InfluenzaB.Rhino.Entero.1.,PRO.384.InfluenzaB.Rhino.Entero.2.,PRO.421.CoronaHKU1.1.,PRO.421.CoronaHKU1.2.,PRO.444.CoronaOC43.1.,PRO.444.CoronaOC43.2.,PRO.448.InfluenzaAH1N1.1.,PRO.448.InfluenzaAH1N1.2.,PRO.453.Corona229E.1.,PRO.453.Corona229E.2.,PRO.472.CoronaNL63.1.,PRO.472.CoronaNL63.2.,PRO.483.InfluenzaAH3.1.,PRO.483.InfluenzaAH3.2.,PRO.497.InfluenzaAH1N1.Rhino.Entero.1.,PRO.497.InfluenzaAH1N1.Rhino.Entero.2.,PRO.590.CoronaNL63.1.,PRO.590.CoronaNL63.2.,PRO.609.Corona229E.1.,PRO.609.Corona229E.2.
CV_NC_045512.2_8573-9012:mt,0,226,0,2,0,0,0,22,210,933,625,1433,2979,0,0,71,87,17,455,23,144,74,18,21,95,0,4,58,0,13,11,24,2,122,13,84,4395,1801,0,5,191,266,28,0,2,6,0,48,151,31,0,185,56,0,8,3,0,0,12,0,0,1,0,0,2,101,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
CV_NC_045512.2_8573-9012:wt_C-T,0,0,0,113,337,0,0,0,43,111,681,901,2462,0,0,117,139,93,2068,48,183,66,0,12,5,21,74,5,73,15,0,36,159,932,91,0,27048,7373,9,132,1,572,0,0,116,122,0,35,118,136,0,3,3,1,78,94,0,2,531,0,157,9,1,0,89,0,0,267,0,0,0,2,141,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,3,0,0,0,592,0,0,0,0,1,0,0,0,0,0,0,0,172,0,0,1,0,0,0,0,0,0,0
CV_NC_045512.2_10874-11313:mt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42,0,0,0,310,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_10874-11313:wt_G-T,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,143,0,0,0,6,3,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_14199-14638:mt,0,0,0,1,0,0,0,1,0,4,3,240,13,0,0,103,0,27,403,10,29,68,18,9,0,1,0,0,0,0,0,35,0,0,62,0,1315,223,2,0,0,0,63,2,0,10,204,0,0,0,0,0,0,0,0,7,0,0,11,0,262,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_14199-14638:wt_C-T,0,263,0,600,0,104,0,120,0,1897,1914,8963,13111,1,0,250,117,66,567,39,22,144,67,0,0,1,0,20,0,29,39,43,0,0,0,0,258,14,4,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,1,0,1,0,3,0,0,0,0,0,0,0,801,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_14596-15035:mt,0,0,0,0,0,0,0,146,0,3,0,129,7,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,145,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_14596-15035:wt_C-T,0,0,0,0,0,0,0,0,0,583,284,247,1306,0,0,0,0,1,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,90,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_17538-17977:mt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_17538-17977:wt_C-T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_17649-18088:mt,376,0,1,0,0,0,0,0,0,0,784,883,650,0,0,2,0,3,111,0,0,0,0,0,0,0,0,0,0,85,136,0,0,0,0,0,46,128,0,2,0,0,0,0,124,0,0,0,0,3,0,4,0,0,0,19,0,0,116,1,2,0,0,1,31,0,0,1,463,28,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
CV_NC_045512.2_17649-18088:wt_A-G,1009,275,87,0,819,0,0,119,577,670,1571,3119,7630,0,218,53,0,2,352,1,0,48,6,0,0,0,43,106,27,14,0,0,243,216,396,410,8900,2887,3,218,0,281,155,0,163,24,0,87,680,617,0,734,0,0,2,32,8,0,63,717,161,0,0,12,14,142,0,114,1,96,0,67,459,0,0,0,485,0,0,0,262,0,0,0,6,0,0,1327,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,0,0,0,178,0,0,0,369
CV_NC_045512.2_17851-18290:mt,0,0,0,0,0,0,0,0,0,3430,5721,15163,27011,1,0,101,192,105,1799,17,577,0,0,0,0,503,1036,21,37,85,167,0,0,437,0,0,2771,7780,9,661,0,735,0,1,0,44,0,0,0,549,11,0,0,0,330,148,0,0,114,0,0,25,0,2,68,78,0,12,68,11,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,0,0,1,1,0,1,4,0,1,0,0,0,1,1,0,0,2,3,0,0,0,1,1,0,0,0,0
CV_NC_045512.2_17851-18290:wt_C-T,0,0,2,0,0,0,0,1,0,649,369,3088,4264,0,0,988,332,2620,24267,124,1829,0,2,0,1,864,4943,711,3576,125,6,0,1950,1820,1,1,123368,117511,273,4869,1,7038,1,875,0,7062,0,213,2,18187,8808,0,0,11,5931,8407,0,118,9833,0,0,796,0,4,3706,895,36,3133,4,863,1,7,2163,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,5,1,0,0,8,0,0,0,0,0,0,1,0,3,2,0,0,1,1,0,0,0,0,2,0,0,0,0
CV_NC_045512.2_21502-21941:mt,0,0,0,114,0,0,0,83,0,0,0,28,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,12,0,0,0,69,0,0,0,0,3,0,0,0,1,0,21,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_21502-21941:wt_C-T,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,113,0,31,0,0,2,0,0,0,0,0,15,0,0,0,56,0,0,0,0,334,0,0,0,484,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_23194-23633:mt,491,0,111,194,2,95,0,209,620,175,0,241,76,0,24,50,0,14,141,0,76,150,63,10,0,1,9,17,69,6,0,71,355,0,674,0,866,57,2,205,0,121,63,0,446,11,127,0,1,50,421,600,1,308,0,2,0,0,8,0,0,0,0,12,1,33,0,136,0,3,0,17,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,1,0,666,0,0,0,0,0,0,0,0
CV_NC_045512.2_23194-23633:wt_A-G,132,241,136,790,0,86,0,247,211,321,468,530,574,0,0,1,0,5,35,0,27,34,0,0,1,0,0,0,0,3,0,0,73,0,459,0,54,60,0,332,0,113,207,1,333,2,224,152,594,72,0,3,87,255,0,0,0,33,5,0,0,0,0,17,1,158,0,0,0,270,0,10,626,0,0,0,44,0,0,0,72,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CV_NC_045512.2_25935-26374:mt,0,0,0,2,0,0,0,97,0,152,0,4,0,0,0,0,0,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_25935-26374:wt_G-T,0,0,174,459,0,0,0,1,0,1,0,57,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,23,0,0,70,0,82,0,0,0,0,0,46,1,0,269,0,0,0,0,303,0,0,0,0,0,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_26837-27276:mt,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_26837-27276:wt_C-T,0,0,0,0,0,0,0,0,0,163,0,305,431,0,0,0,0,0,30,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,793,223,0,48,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_27935-28374:mt,3485,2276,1367,2115,5988,461,2685,13478,532,1792,3311,1275,7872,64,98,0,237,0,57,0,0,3,9,0,2,0,0,0,0,0,0,0,44,939,170,0,414,28,0,0,128,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,200,123,0,0,0,0,0,3,0,273,2667,52823,0,4,1905,54,265,66,17283,1312,11090,7,1061,886,330,12586,141,121,4894,2052,5990,849,11,142,1246,3777,346,220,2692,1190,4391,3004,0,595,2722,1256,929,290,1073
CV_NC_045512.2_27935-28374:wt_T-C,154,3,65,291,638,102,51,434,128,16,302,151,393,1,2,0,26,0,78,0,0,2,0,0,0,0,0,0,0,0,1,4,33,379,17,0,387,70,0,49,0,0,19,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,232,7161,0,3,17,0,9,0,6,1,30,4,5,182,17,1184,1,0,3,1,4,0,0,8,0,0,4,0,425,1,521,3,0,17,551,234,1,13,147
CV_NC_045512.2_28479-28918:mt,2,0,7,130,113,42,18,2,0,5756,8371,32652,33137,1,0,1070,624,45066,32580,17650,27151,44,73,155,12,101450,124254,2854,75668,59923,84088,26,1714,2501,44,1456,37227,101659,22119,52248,795,23053,21,92437,79,86126,271,2708,204,116212,36196,12,27,113,114315,118162,16,8676,88484,13,2889,43091,10,94,74485,5037,6151,2476,1867,4321,24,163,1911,0,2,19,0,0,1,0,112,15,18,13,0,1,17,8,22,15,624,12,47,20,1,14,0,4,2,810,1,177,193,221,47,53,182,3,10,1,21,22,2,1,8,0
CV_NC_045512.2_28479-28918:wt_T-C,478,130,71,242,413,88,35,98,2,14472,20992,89144,100585,5,0,3311,2836,132128,93136,48622,86112,156,170,26,294,289699,346798,9127,222569,163597,240502,88,4944,7627,148,3314,116427,264905,55215,148912,1889,65503,37,257829,252,233033,934,6669,61,341667,98452,27,98,287,330197,324109,42,22484,237631,33,13440,118844,21,216,203234,16316,14490,5550,4935,8727,98,620,4341,8,2,30,5,0,856,0,239,594,31,32,4,419,37,27,39,246,4,541,820,24,2,30,0,1,6,30,2,1299,478,1025,1034,178,18,3,21,6,243,233,4,193,1553,1
CV_NC_045512.2_28672-29111:mt,154,0,38,123,72,365,18,133,126,2424,2330,14753,12838,1,574,581,372,16865,7252,4802,5781,660,699,859,1,21969,22448,78,5110,6969,7194,130,429,568,222,219,14830,21987,9497,4705,200,3808,110,14631,678,18573,1396,2072,180,5466,444,229,235,162,12656,26161,128,717,43803,759,922,12421,45,1234,26304,312,6044,705,659,3,11,779,713,0,0,9,309,0,0,0,1286,7,4,2,975,1,1,3,2,12,0,7,5,638,127,2,0,63,0,2,3,2,12,17,333,229,265,1,7,0,4,4,0,173,0,1
CV_NC_045512.2_28672-29111:wt_G-A,180,0,30,581,283,76,994,126,176,9801,12234,59150,57874,3,375,1630,668,56685,26294,12266,23156,662,1215,1647,163,90190,91211,315,22298,25066,33966,148,1949,3388,178,803,57949,79339,30885,19483,122,16725,85,69340,464,79772,48,2994,214,24725,1818,470,73,47,51201,118687,2,111,192425,6,1072,43797,22,1141,124467,1073,19601,1868,840,5,37,1384,1380,2,1,42,2,0,1,0,1085,570,11,9,574,1,11,442,15,122,0,27,5,17,173,208,849,162,574,659,0,17,62,57,5,15,10,144,917,1,91,17,23,73,1,655
CV_NC_045512.2_28886-29325:mt,0,0,0,94,790,75,0,391,210,3590,5847,19207,25616,3,150,341,221,681,5585,231,2526,1056,98,92,0,4318,10444,121,1484,231,1432,143,497,1281,49,244,22186,29816,164,6748,0,2184,23,1048,58,2160,0,271,156,4699,1362,0,0,4,2330,1866,26,145,5791,1,356,875,34,88,1761,147,121,680,91,3,0,7,247,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,6,0,0,0,1,0,0,3,0,0,0,0,0,0,3,0,1,2,1,1,0,0,0,2,0,0,1,0
CV_NC_045512.2_28886-29325:wt_C-T,188,1,64,212,85,1,0,2,0,3612,4741,21991,26359,1,0,266,148,1017,4749,351,3059,347,131,0,0,7473,15959,63,1315,442,2575,13,542,1571,0,149,23061,30328,314,6716,104,2570,1,2995,0,4095,1,506,1,5241,1618,0,0,2,3750,3256,1,186,9533,0,0,1383,3,2,4844,218,381,1123,244,171,0,7,674,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,9,0,0,0,2,0,0,2,1,0,0,0,0,0,5,4,0,0,4,0,0,0,1,2,0,1,0,0
CV_NC_045512.2_29533-29972:mt,0,425,0,1,0,0,49,0,1,37,283,3699,898,1,0,0,0,47,83,3,42,1,1,0,0,41,100,0,3,3,5,0,3,10,35,0,362,587,88,21,0,2,0,3,4,192,17,0,0,3,1,0,0,0,9,66,0,0,384,0,1,30,0,0,84,3,66,8,0,16,0,0,0,0,0,0,772,0,621,0,0,0,0,2,0,0,0,1,3,0,0,5,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
CV_NC_045512.2_29533-29972:wt_G-T,275,758,59,713,0,34,1768,1,50,12799,14482,83775,83641,264,1,193,1,4601,4037,867,4033,186,162,1,1,2956,3291,34,324,567,838,16,419,2730,87,1,22760,5682,3418,1004,0,1231,23,1944,212,4230,1415,0,0,636,277,0,1,0,1241,5826,0,0,35193,0,163,3388,1,41,8471,78,2555,862,0,497,4,155,1,0,1,0,3,0,1467,0,0,1,0,1827,0,3,0,23,548,0,0,2874,0,0,1360,17,601,108,0,1,2977,6,0,1,1,260,14,0,0,0,1,194,43,0,0,0